route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
3-10647,2023-COMBNXT-Weekday-11,68041505-2023-COMBNXT-Weekday-11,Airport,1,30598,1,1
3-10647,2023-COMBNXT-Weekday-11,68041506-2023-COMBNXT-Weekday-11,Airport,1,30598,1,1
3-10647,2023-COMBNXT-Weekday-11,68041507-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041508-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041509-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041510-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041511-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041512-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041513-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041514-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041515-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041516-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041517-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041518-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041519-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041520-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
