SA1_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
80104104402,76,103,31,31,39,19,3,15,5,333
80104104404,58,113,33,34,50,23,6,14,19,354
80104104405,77,72,7,26,33,19,0,9,3,236
80104104409,39,55,18,29,30,13,3,3,0,191
80104104410,13,34,15,17,11,13,5,11,6,126
80104104411,38,66,11,18,28,16,4,7,8,184
80104104412,26,48,15,17,26,6,3,7,5,157
80104104413,57,75,14,25,31,20,3,6,5,236
80104104414,21,35,8,13,17,3,0,6,4,108
80104104415,36,54,32,39,35,15,3,16,10,223
80104104416,43,88,16,32,25,23,5,13,14,262
80104104417,43,81,16,16,36,12,0,7,3,223
80104104418,39,87,28,45,34,26,8,22,4,295
80104104419,25,76,31,30,35,21,8,22,0,252
80104104420,44,95,38,54,60,29,12,18,3,343
80104104421,22,62,35,35,28,19,3,7,0,217
80104104422,0,0,0,0,0,0,0,0,0,0
80104104423,49,66,14,24,19,17,4,3,6,195
80104104424,54,87,29,28,31,19,5,8,13,272
80104104425,0,0,0,0,0,0,0,3,0,14
80104104426,58,100,33,30,38,32,9,13,8,312
80104104502,0,0,0,0,0,0,0,0,0,0
80104104503,0,0,0,0,0,0,0,0,0,0
80104104504,0,0,0,3,0,0,0,0,0,3
80104104601,17,44,18,10,27,6,0,4,0,135
80104104602,42,69,41,31,42,19,6,7,3,267
80104104603,25,39,22,21,22,10,0,6,0,149
80104104604,31,35,15,10,21,9,4,3,3,130
80104104605,18,47,19,23,20,9,5,14,3,159
80104104606,31,46,29,18,34,10,4,10,7,190
80104104607,24,46,13,12,18,3,0,13,4,134
80104104609,14,41,13,29,21,9,9,8,0,149
80104104612,16,30,8,9,14,5,3,10,0,111
80104104613,41,57,26,29,27,17,3,9,0,229
80104104614,36,57,12,26,20,9,4,4,4,162
80104104616,5,26,15,15,25,6,0,9,4,108
80104104617,56,73,44,30,44,21,0,10,0,278
80104104618,23,51,18,32,41,23,8,18,7,219
80104104619,17,44,23,21,31,21,5,14,4,182
80104104620,22,40,23,21,32,6,5,6,6,166
80104104621,23,61,20,21,36,16,9,13,7,210
80104104622,15,53,20,30,38,19,7,6,5,196
80104104623,45,86,31,30,40,21,4,22,5,289
80104104624,0,0,0,0,0,0,0,0,0,0
80104104625,46,72,27,27,34,17,12,12,5,254
80104104626,23,48,20,27,29,17,9,13,4,175
80104104627,32,58,30,20,36,16,12,7,0,205
